for|||1|||0|||0|||5
System|||1|||0|||14|||5
out|||1|||0|||16|||5
print|||1|||0|||18|||5
"|||1|||0|||22|||5
"|||2|||0|||23|||5
sum|||1|||1|||1|||5
for|||2|||1|||5|||5
sum|||2|||1|||19|||5
for|||3|||2|||0|||5
System|||2|||2|||15|||5
out|||2|||2|||17|||5
print|||2|||2|||19|||5
"|||3|||2|||23|||5
"|||4|||2|||24|||5
for|||4|||3|||0|||5
System|||3|||3|||15|||5
out|||3|||3|||17|||5
print|||3|||3|||19|||5
"|||5|||3|||23|||5
"|||6|||3|||24|||5
fact|||1|||4|||1|||5
for|||5|||4|||5|||5
fact|||2|||4|||19|||5
for|||6|||5|||17|||5
length|||1|||5|||28|||5
System|||4|||5|||33|||5
out|||4|||5|||35|||5
print|||4|||5|||37|||5
"|||7|||5|||44|||5
"|||8|||5|||45|||5
for|||7|||6|||0|||5
length|||2|||6|||7|||5
System|||5|||6|||18|||5
out|||5|||6|||20|||5
print|||5|||6|||22|||5
"|||9|||6|||29|||5
"|||10|||6|||30|||5
sum|||3|||7|||1|||5
for|||8|||7|||5|||5
length|||3|||7|||16|||5
sum|||4|||7|||21|||5
a|||1|||8|||1|||5
b|||1|||8|||5|||5
c|||1|||8|||9|||5
for|||9|||8|||11|||5
System|||6|||8|||26|||5
out|||6|||8|||28|||5
print|||6|||8|||30|||5
a|||2|||8|||32|||5
"|||11|||8|||34|||5
"|||12|||8|||35|||5
c|||2|||8|||38|||5
a|||3|||8|||40|||5
b|||2|||8|||42|||5
a|||4|||8|||44|||5
b|||3|||8|||46|||5
b|||4|||8|||48|||5
c|||3|||8|||50|||5
}|||2|||8|||52|||5
num|||1|||9|||1|||5
count|||1|||9|||5|||5
for|||10|||9|||9|||5
num|||2|||9|||12|||5
num|||3|||9|||16|||5
count|||2|||9|||20|||5
rev|||1|||10|||1|||5
num|||4|||10|||5|||5
for|||11|||10|||9|||5
num|||5|||10|||12|||5
num|||6|||10|||16|||5
rev|||2|||10|||20|||5
rev|||3|||10|||22|||5
num|||7|||10|||26|||5
max|||1|||11|||1|||5
for|||12|||11|||8|||5
length|||4|||11|||19|||5
if|||1|||11|||24|||5
max|||2|||11|||31|||5
max|||3|||11|||33|||5
min|||1|||12|||1|||5
for|||13|||12|||8|||5
length|||5|||12|||19|||5
if|||2|||12|||24|||5
min|||2|||12|||31|||5
min|||3|||12|||33|||5
a|||5|||13|||1|||5
b|||5|||13|||5|||5
