for|||1|||0|||20|||0
(|||2|||0|||21|||0
;|||2|||0|||26|||0
<|||1|||0|||28|||0
for|||2|||1|||20|||0
(|||5|||1|||21|||0
;|||6|||1|||26|||0
<|||2|||1|||28|||0
for|||3|||2|||15|||0
(|||8|||2|||16|||0
;|||9|||2|||21|||0
<|||3|||2|||23|||0
while|||1|||3|||20|||0
(|||11|||3|||21|||0
<|||4|||3|||23|||0
if|||1|||4|||25|||0
(|||14|||4|||26|||0
<|||5|||4|||28|||0
if|||2|||5|||25|||0
(|||17|||5|||26|||0
!|||1|||5|||27|||0
(|||18|||5|||28|||0
for|||4|||8|||15|||0
(|||25|||8|||16|||0
;|||27|||8|||21|||0
<|||6|||8|||23|||0
for|||5|||9|||15|||0
(|||28|||9|||16|||0
;|||30|||9|||21|||0
<=|||1|||9|||23|||0
for|||6|||12|||20|||0
(|||35|||12|||21|||0
;|||38|||12|||26|||0
<|||7|||12|||28|||0
for|||7|||13|||20|||0
(|||38|||13|||21|||0
;|||42|||13|||26|||0
<|||8|||13|||28|||0
for|||8|||14|||15|||0
(|||41|||14|||16|||0
;|||45|||14|||21|||0
<|||9|||14|||23|||0
while|||2|||15|||20|||0
(|||44|||15|||21|||0
<|||10|||15|||23|||0
if|||3|||16|||25|||0
(|||47|||16|||26|||0
if|||4|||17|||25|||0
(|||50|||17|||26|||0
!|||2|||17|||27|||0
(|||51|||17|||28|||0
for|||9|||20|||15|||0
(|||58|||20|||16|||0
;|||63|||20|||21|||0
<|||11|||20|||23|||0
for|||10|||21|||15|||0
(|||61|||21|||16|||0
;|||66|||21|||21|||0
<=|||3|||21|||23|||0
Example1|||1|||0|||2|||1
10|||1|||0|||18|||1
Example2|||1|||1|||2|||1
10|||2|||1|||18|||1
Example3|||1|||2|||2|||1
10|||3|||2|||24|||1
Example4|||1|||3|||2|||1
10|||4|||3|||24|||1
Example5|||1|||4|||2|||1
5|||1|||4|||18|||1
10|||5|||4|||23|||1
Example6|||1|||5|||2|||1
5|||2|||5|||18|||1
10|||6|||5|||23|||1
Example7|||1|||6|||2|||1
5|||3|||6|||23|||1
100|||1|||6|||31|||1
Example8|||1|||7|||2|||1
5|||4|||7|||23|||1
100|||2|||7|||36|||1
Example9|||1|||8|||2|||1
5|||5|||8|||24|||1
Example10|||1|||9|||2|||1
5|||6|||9|||24|||1
Example11|||1|||10|||2|||1
Example12|||1|||11|||2|||1
1|||1|||11|||18|||1
Example13|||1|||12|||2|||1
10|||7|||12|||18|||1
Example14|||1|||13|||2|||1
10|||8|||13|||18|||1
Example15|||1|||14|||2|||1
5|||7|||14|||24|||1
Example16|||1|||15|||2|||1
5|||8|||15|||24|||1
Example17|||1|||16|||2|||1
7|||1|||16|||18|||1
10|||9|||16|||23|||1
Example18|||1|||17|||2|||1
7|||2|||17|||18|||1
10|||10|||17|||23|||1
Example19|||1|||18|||2|||1
1|||2|||18|||21|||1
5|||9|||18|||29|||1
Example20|||1|||19|||2|||1
1|||3|||19|||21|||1
5|||10|||19|||29|||1
Example21|||1|||20|||2|||1
1|||4|||20|||20|||1
4|||3|||20|||24|||1
Example22|||1|||21|||2|||1
1|||5|||21|||20|||1
4|||4|||21|||24|||1
Example23|||1|||22|||2|||1
Example24|||1|||23|||2|||1
1|||6|||23|||18|||1
)|||1|||0|||13|||2
{|||2|||0|||14|||2
;|||1|||0|||19|||2
;|||3|||0|||30|||2
)|||2|||0|||33|||2
{|||3|||0|||34|||2
(|||3|||0|||40|||2
)|||3|||0|||42|||2
;|||4|||0|||43|||2
)|||4|||1|||13|||2
